dataset,feature_setting,explainer,model,node_id,true_label,original_pred_label,original_prob_illicit,deletion_pred_label,deletion_prob_illicit,deletion_drop,deletion_label_flip,insertion_pred_label,insertion_prob_illicit,insertion_gap,insertion_preservation,num_graph_edges,num_explanation_edges,num_explanation_nodes,sparsity_edges
Elliptic,tx+agg,GNNExplainer,graphsage,29912,0,0,0.9849860668182373,0,0.9817593097686768,0.003226757049560547,0,0,0.9849860668182373,0.0,1,36624,20,30,0.9994539100043687
Elliptic,tx+agg,GNNExplainer,graphsage,19539,0,0,0.9418798685073853,0,0.9470897912979126,-0.005209922790527344,0,0,0.9418798685073853,0.0,1,36624,20,21,0.9994539100043687
Elliptic,tx+agg,GNNExplainer,graphsage,18903,0,0,0.9391763806343079,0,0.957444429397583,-0.018268048763275146,0,0,0.9323462247848511,0.006830155849456787,1,36624,20,21,0.9994539100043687
Elliptic,tx+agg,GNNExplainer,graphsage,18323,0,0,0.8480489253997803,1,0.27453115582466125,0.573517769575119,1,0,0.8480489253997803,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,GNNExplainer,graphsage,17047,0,0,0.8437139987945557,0,0.7601467370986938,0.08356726169586182,0,0,0.8437139987945557,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,GNNExplainer,graphsage,24239,0,0,0.7818787097930908,0,0.8244615793228149,-0.04258286952972412,0,0,0.7818787097930908,0.0,1,36624,20,21,0.9994539100043687
Elliptic,tx+agg,GNNExplainer,graphsage,25447,0,0,0.5857320427894592,1,0.311593621969223,0.2741384208202362,1,0,0.5857320427894592,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,PGExplainer,graphsage,29912,0,0,0.9849860668182373,0,0.9817593097686768,0.003226757049560547,0,0,0.9849860668182373,0.0,1,36624,20,30,0.9994539100043687
Elliptic,tx+agg,PGExplainer,graphsage,19539,0,0,0.9418798685073853,0,0.9470897912979126,-0.005209922790527344,0,0,0.9418798685073853,0.0,1,36624,20,21,0.9994539100043687
Elliptic,tx+agg,PGExplainer,graphsage,18903,0,0,0.9391763806343079,0,0.9396377205848694,-0.00046133995056152344,0,0,0.9375134706497192,0.001662909984588623,1,36624,20,21,0.9994539100043687
