dataset,feature_setting,model,explainer,node_id,true_label,original_pred_label,original_prob_illicit,deletion_pred_label,deletion_prob_illicit,deletion_drop,deletion_label_flip,insertion_pred_label,insertion_prob_illicit,insertion_gap,insertion_preservation,num_graph_edges,num_explanation_edges,num_explanation_nodes,sparsity_edges
Elliptic,tx+agg,gcn,GNNExplainer,18018,0,0,0.9868041276931763,1,0.15562157332897186,0.8311825543642044,1,0,0.9868041276931763,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,gcn,GNNExplainer,25447,0,0,0.8926364183425903,1,0.2562767565250397,0.6363596618175507,1,0,0.8926364183425903,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,gcn,GNNExplainer,18323,0,0,0.8924854397773743,1,0.328020304441452,0.5644651353359222,1,0,0.8998650908470154,-0.007379651069641113,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,gcn,GNNExplainer,17494,0,0,0.7451162934303284,1,0.05966566503047943,0.6854506283998489,1,0,0.7451162934303284,0.0,1,36624,20,35,0.9994539100043687
Elliptic,tx+agg,gcn,GNNExplainer,21518,0,0,0.7167640924453735,1,0.07903749495744705,0.6377265974879265,1,0,0.7167640328407288,5.960464477539063e-08,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,gcn,GNNExplainer,18076,0,0,0.6932767629623413,1,0.015416269190609455,0.6778604937717319,1,0,0.6932767629623413,0.0,1,36624,20,35,0.9994539100043687
Elliptic,tx+agg,gcn,PGExplainer,18018,0,0,0.9868041276931763,1,0.15562157332897186,0.8311825543642044,1,0,0.9868041276931763,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,gcn,PGExplainer,25447,0,0,0.8926364183425903,1,0.2562767565250397,0.6363596618175507,1,0,0.8926364183425903,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,gcn,PGExplainer,18323,0,0,0.8924854397773743,1,0.328020304441452,0.5644651353359222,1,0,0.8998650908470154,-0.007379651069641113,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,gcn,PGExplainer,17494,0,0,0.7451162934303284,1,0.05966566503047943,0.6854506283998489,1,0,0.7451162934303284,0.0,1,36624,20,35,0.9994539100043687
Elliptic,tx+agg,gcn,PGExplainer,21518,0,0,0.7167640924453735,1,0.07903749495744705,0.6377265974879265,1,0,0.7167640328407288,5.960464477539063e-08,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,gcn,PGExplainer,18076,0,0,0.6932767629623413,1,0.015416269190609455,0.6778604937717319,1,0,0.6932767629623413,0.0,1,36624,20,35,0.9994539100043687
Elliptic,tx+agg,gcn,DGL_SubgraphX,18018,0,0,0.9868041276931763,0,0.6010029315948486,0.38580119609832764,0,0,0.9895926713943481,-0.002788543701171875,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,gcn,DGL_SubgraphX,25447,0,0,0.8926364183425903,0,0.8752410411834717,0.017395377159118652,0,1,0.2562767565250397,0.6363596618175507,0,36624,1,2,0.9999726955002184
Elliptic,tx+agg,gcn,DGL_SubgraphX,18323,0,0,0.8924854397773743,0,0.5080878734588623,0.38439756631851196,0,0,0.9445445537567139,-0.0520591139793396,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,gcn,DGL_SubgraphX,17494,0,0,0.7451162934303284,1,0.10468321293592453,0.6404330804944038,1,0,0.8828184604644775,-0.13770216703414917,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,gcn,DGL_SubgraphX,21518,0,0,0.7167640924453735,1,0.4282836616039276,0.2884804308414459,1,0,0.7706696391105652,-0.05390554666519165,1,36624,2,3,0.9999453910004369
Elliptic,tx+agg,gcn,DGL_SubgraphX,18076,0,0,0.6932767629623413,0,0.632838785648346,0.06043797731399536,0,1,0.015416269190609455,0.6778604937717319,0,36624,2,3,0.9999453910004369
Elliptic,tx+agg,graphsage,GNNExplainer,29912,0,0,0.9849860668182373,0,0.9817593097686768,0.003226757049560547,0,0,0.9849860668182373,0.0,1,36624,20,30,0.9994539100043687
Elliptic,tx+agg,graphsage,GNNExplainer,19539,0,0,0.9418798685073853,0,0.9470897912979126,-0.005209922790527344,0,0,0.9418798685073853,0.0,1,36624,20,21,0.9994539100043687
Elliptic,tx+agg,graphsage,GNNExplainer,18903,0,0,0.9391763806343079,0,0.957444429397583,-0.018268048763275146,0,0,0.9323462247848511,0.006830155849456787,1,36624,20,21,0.9994539100043687
Elliptic,tx+agg,graphsage,GNNExplainer,18323,0,0,0.8480489253997803,1,0.27453115582466125,0.573517769575119,1,0,0.8480489253997803,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,graphsage,GNNExplainer,17047,0,0,0.8437139987945557,0,0.7601467370986938,0.08356726169586182,0,0,0.8437139987945557,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,graphsage,GNNExplainer,24239,0,0,0.7818787097930908,0,0.8244615793228149,-0.04258286952972412,0,0,0.7818787097930908,0.0,1,36624,20,21,0.9994539100043687
Elliptic,tx+agg,graphsage,GNNExplainer,25447,0,0,0.5857320427894592,1,0.311593621969223,0.2741384208202362,1,0,0.5857320427894592,0.0,1,36624,20,34,0.9994539100043687
Elliptic,tx+agg,graphsage,PGExplainer,29912,0,0,0.9849860668182373,0,0.9817593097686768,0.003226757049560547,0,0,0.9849860668182373,0.0,1,36624,20,30,0.9994539100043687
Elliptic,tx+agg,graphsage,PGExplainer,19539,0,0,0.9418798685073853,0,0.9470897912979126,-0.005209922790527344,0,0,0.9418798685073853,0.0,1,36624,20,21,0.9994539100043687
Elliptic,tx+agg,graphsage,PGExplainer,18903,0,0,0.9391763806343079,0,0.9396377205848694,-0.00046133995056152344,0,0,0.9375134706497192,0.001662909984588623,1,36624,20,21,0.9994539100043687
